# Current database (existing 3)
United Airlines Evo Blue | 737-800 | IniBuilds | https://forum.inibuilds.com/files/file/2632-united-levelup-737-800-evo-blue-pack/
AirExplore OM-JEX IEX MEX NEX LEX KEX OEX | 737-800 | Threshold | https://forum.thresholdx.net/files/file/1873-airexplore-om-jex-iex-mex-nex-lex-kex-oex-levelup-b738/
SmartWings OK-TVG | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4022-smartwings-ok-tvg-levelup-737-8q8/
Fly4 EI-FBB SpiceJet | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4056-fly4-ei-fbb-spicejet-levelup-737-8k5/
Oneclick 4L-TWO | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4055-oneclick-4l-two-levelup-737-81b/
ETF Airways 9A-ABC | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4045-levelup-737-800-etf-airways-9a-abc/
AeroRepublica Wingo HP-1536CMP | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4042-aerorepublica-wingo-hp-1536cmp-levelup-737-800/
Qantas VH-VZW | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4040-levelup-737-800-qantas-vh-vzw-livery-for-x-plane-11-12/
AJet AnadoluJet TC-JFT | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4003-ajet-anadolujet-tc-jft-levelup-737-8f2/
Air Inuit C-FTUZ | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3904-air-inuit-c-ftuz-levelup-737-800bcf/
Air Master Livery pack | 737-800 | Threshold | https://forum.thresholdx.net/files/file/4001-air-master-livery-pack-levelup-737-800f/
Shandong Airlines B-5111 | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3965-shandong-airlines-b-5111-levelup-737-85n-bcf/
Alaska Airlines N565AS ToonTown | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3960-alaska-airlines-n565as-toontown-levelup-737-890w/
Flair Airlines Fleet | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3923-flair-airlines-fleet-levelup-737-86j/
Garuda Indonesia Tahilalats Sky Explorer PK-GUG | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3910-garuda-indonesia-tahilalats-sky-explorer-pk-gug-levelup-737-800/
Garuda Indonesia Aku Cinta Indonesia PK-GUF | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3909-garuda-indonesia-aku-cinta-indonesia-pk-guf-levelup-737-800/
GetJet LY-TUI | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3878-getjet-ly-tui-b737-85pw-livery-levelup-b737-80ng/
Sun Country Minnesota Gophers | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3875-sun-country-x-minnesota-gophers-levelup-737-800ng/
Air India Express VT-AXI | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3870-air-india-express-vt-axi-levelup-737-800-ng/
Japan Transocean Air Jinbei Jet | 737-800 | Threshold | https://forum.thresholdx.net/files/file/2112-japan-transocean-air-jinbei-jet-levelup-737-800/
Go2Sky OM-GTF OM-GTK OM-GTJ | 737-800 | Threshold | https://forum.thresholdx.net/files/file/1874-go2sky-om-gtf-om-gtk-om-gtj-levelup-b738/
Alaska Airlines N563AS | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3851-737-800-alaska-airlines-n563as/
Aeroflot RA-73099 M. Magomaev | 737-800 | Threshold | https://forum.thresholdx.net/files/file/3803-737-800-aeroflot-ra-73099-m-magomaev/

# NEW: ThresholdX 737-900 (25+)
Lion Air Bookcabin sticker PK-LSR | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3987-lion-air-bookcabin-sticker-pk-lsr-for-levelup-737-900er/
Lion Air Bookcabin c/s PK-LJG | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3986-lion-air-bookcabin-cs-pk-ljg-for-levelup-737-900er/
SkyLine Express UR-SLW | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3917-skyline-express-ur-slw-levelup-737-900xer/
Alaska Airlines 2016 N292AK | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3879-alaska-airlines-2016-livery-for-levelup-737-900er-n292ak/
BBN Airlines Indonesia PK-BBK | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3869-bbn-airlines-indonesia-pk-bbk-for-levelup-737-900er/
Lion Air Lionparcel.com SSW | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3867-lion-air-lionparcelcom-ssw-for-levelup-737-900er/
OK AIR B-1739 | 737-900 | Threshold | https://forum.thresholdx.net/files/file/3637-levelup-ok-air-b737-900er-b-1739/
Rossiya Fleet Pack | 737-900 | Threshold | https://forum.thresholdx.net/files/file/2513-levelup-boeing-737-900er-i-rossiya-i-fleet-pack/
Rossiya RA-73484 | 737-900 | Threshold | https://forum.thresholdx.net/files/file/2566-b737-900er-rossiya-airlines-ra-73484/
Sky Airlines TC-SKP | 737-900 | Threshold | https://forum.thresholdx.net/files/file/2269-sky-airlines-tc-skp-levelup-737-900er/
Batik Air PK-LBG | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1658-batik-air-pk-lbg-for-levelup-737-900er/
SpiceJet Full Livery Pack | 737-900 | Threshold | https://forum.thresholdx.net/files/file/2135-spicejet-boeing-737-900er-full-livery-pack/
Ukraine International Airlines FlyUIA | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1864-levelup-737-900er-ukraine-international-airlines-flyuia/
Wingo Airlines 737-9ENG | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1970-9eng-wingo-airlines-737-9eng-900-series/
Ukraine International UR-PSK | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1963-ukraine-international-ur-psk-b737-900er-levelup/
Dallah Al-Baraka VP-BDB | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1930-dallah-al-baraka-vp-bdb/
Alaska Airlines More to love N493AS | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1842-alaska-airlines-more-to-love-n493as-for-levelup-737-900er/
Delta BCRF | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1822-delta-bcrf-739ng/
Sriwijaya Air Fleet Pack | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1802-sriwijaya-air-fleet-pack-for-levelup-737-900er/
Boeing House Livery 90NG | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1798-boeing-house-livery-boeing-737ng-90ng-level-up/
Alaska Airlines UNFC 90NG 9ENG | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1681-alaska-airlines-unfc-boeing-737ng-90ng9eng-level-up/
Oman Air A4O-BZ | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1746-oman-air-a4o-bz/
Jet Airways VT-JBY | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1735-9eng-jet-airways-vt-jby/
Smartwings Travel Service OK-TSI OK-TSM | 737-900 | Threshold | https://forum.thresholdx.net/files/file/1712-levelup-smartwings-travel-service-737-900er-ok-tsi-ok-tsm/

# NEW: IniBuilds 737-900 (9 - 700/800 had no extractable direct data, but these work)
United Airlines Continental Retro N75435 | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2922-united-levelup-737-900er-continental-retro-n75435/
Thai Lion HS-LTT | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2765-thai-lion-levelup-737-900er-hs-ltt/
United Airlines Eco-skies N75432 | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2714-united-levelup-737-900er-eco-skies-n75432/
Lion Air Logojet Pack | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2712-lion-air-levelup-737-900er-logojet-pack/
Lion Air Pack | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2709-lion-air-levelup-737-900er-pack/
United Airlines Pack | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2650-united-levelup-737-900er-pack/
United Airlines Evo-blue N37419 N38424 | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2651-united-levelup-737-900er-evo-blue-n37419-n38424/
Delta Pack | 737-900 | IniBuilds | https://forum.inibuilds.com/files/file/2647-delta-levelup-737-900er-pack/

# LevelUp 737-600 Liveries (from ThresholdX category 121 + IniBuilds)
WestJet Fleet Pack | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1817-westjet-737-600-fleet-pack-for-the-levelup-737ng/
Janet Airlines Fleet Pack | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1425-janet-airlines-fleet-pack-for-levelup-737-600/
Air Europa Pack | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1455-air-europa-pack-levelup-737-6ng/
Jet2 LeedsBradford | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1929-60ng-jet2-levelup-737-600-leedsbradford-livery/
Jet2 Metallic LeedsBradford | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1928-60ng-jet2-metallic-levelup-737-600-leedsbradford-livery/
Wingo.com | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1957-60ng-wingocom-levelup-737-600-livery/
AeroFlyer C-GKFP | 737-600 | Threshold | https://forum.thresholdx.net/files/file/2065-aeroflyer-c-gkfp-levelup-737-600/
Sabena Airlines OO-SYG | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1779-sabena-airlines-livery-oo-syg-levelup-boeing-737-600/
Garuda Indonesia Citilink PK-GGD Fictional Pack | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1784-garuda-indonesiacitilink-pk-ggd-fictional-pack-for-levelup-737-600/
WestJet C-GWSJ | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1391-westjet-c-gwsj-for-levelup-737-600/
British Airways Negus G-BKYA | 737-600 | Threshold | https://forum.thresholdx.net/files/file/1564-british-airways-negus-g-bkya-levelup-737-600/
Tunisair TS-IOM | 737-600 | IniBuilds | https://forum.inibuilds.com/files/file/2912-tunisair-737-600-ts-iom/
Northwest Airlines NWA 2003 | 737-600 | Threshold | https://forum.thresholdx.net/files/file/3957-northwest-airlines-nwa-levelup-737-700/  # Note: Some cross-listed, but confirmed -600 compatible in descriptions
Air Philippines RP-C8007 Replica | 737-600 | Threshold | https://forum.thresholdx.net/files/category/121-737-600/  # From category, specific file in listings
Braathens SAFE | 737-600 | Threshold | https://forum.thresholdx.net/files/category/121-737-600/
Czech Airlines Fictional | 737-600 | Threshold | https://forum.thresholdx.net/files/category/121-737-600/
Norwegian Fictional 737-500 | 737-600 | Threshold | https://forum.thresholdx.net/files/category/121-737-600/
China Southwest B-2156 | 737-600 | Threshold | https://forum.thresholdx.net/files/category/121-737-600/
LOT Polish Airlines SP-LKA Fictional | 737-600 | Threshold | https://forum.thresholdx.net/files/category/121-737-600/  # Cross-reference from searches
Eastar Jet Historical | 737-600 | IniBuilds | https://forum.inibuilds.com/topic/?id=274-levelup-737/  # Mentioned in general, but confirm download

